"Individual_id","Species","sex","d13C_NA","d13C_DP","d13C_Plas","d13C_RBC","d15N_NA","d15N_DP","d15N_Plas","d15N_RBC","CN.ratio_NA","CN.ratio_DP","CN.ratio_Plas","CN.ratio_RBC","Culmen_length","date.start","duration","Maxdist","mean.lat","long.trip","short.trip","Predicted_d13C_DP","Normalized"
"NGP18_26102016","NGP","Female",NA,-26.7899394066028,-24.52,-21.02,NA,NA,13.46,13.48,NA,NA,4.93,3.28,NA,NA,NA,NA,NA,NA,NA,-26.7899394066028,"Y"
"NGP18_KD_SEP_2015","NGP","Female",NA,-21.49,-23.58,-20.52,NA,13.74,13.2,14.4,NA,3.5,4.65,3.28,92.7,"2015-10-06 07:57:39",5.39751157407407,96.6683213037993,-47.1609448780488,"N","Y",-25.5649733168123,"N"
"NGP19_092017","NGP","Male",NA,-21.19,-24.01,-20.37,NA,12.99,12.89,13.53,NA,3.5,4.76,3.21,NA,NA,NA,NA,NA,NA,NA,-26.1069242806586,"N"
"NGP19_27102016","NGP","Female",NA,-18.29,-20.69,-18.45,NA,14.54,14.52,14.52,NA,3.4,4.99,3.25,91.3,"2016-10-05 07:19:03",7.26173611111111,1742.37974459598,-38.7031312183908,"Y","N",-23.0210035687007,"N"
"NGP19_KD_SEP_2015","NGP","Male",NA,-21.44,-23.48,-21.39,NA,12.21,11.85,12.19,NA,3.52,4.68,3.26,NA,"2015-10-03 11:02:11",5.91086805555556,42.8208471651634,-46.9651151449275,"N","Y",-25.4955053978613,"N"
"NGP20_092017","NGP","Female",NA,-22.66,-24.89,-21.71,NA,12.89,12.83,13.36,NA,3.6,4.77,3.15,85.6,"2017-10-06 17:39:11",14.6991203703704,1763.13187209257,-42.8133162272727,"Y","Y",-26.9971016410082,"N"
"NGP20_26102016","NGP","Female",NA,-18.67,-20.56,-18.5,NA,14.97,14.98,14.89,NA,3.39,4.81,3.25,91.3,"2016-10-02 01:19:03",9.34978009259259,1737.30765820464,-41.336498190625,"Y","N",-22.7078110824069,"N"
"NGP20_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2,"2015-10-04 12:05:17",8.81233796296296,26.6182268156683,-46.9352931884058,"N","Y",NA,NA
"NGP21_102017","NGP","Female",NA,-21.25,-23.44,-20.58,NA,13.11,13.01,13.59,NA,3.79,4.79,3.15,NA,NA,NA,NA,NA,NA,NA,-25.5674563617075,"N"
"NGP21_27102016","NGP","Female",NA,-24.6669921010778,-23.14,-21.3,NA,NA,12.03,12.7,NA,NA,4.2,3.27,89.6,"2016-10-05 13:29:03",10.8071875,87.9919950785718,-47.007410280695,"N","Y",-24.6669921010778,"Y"
"NGP22_102017","NGP","Male",NA,-21.56,-23.38,-21.23,NA,11.61,11.71,11.67,NA,3.5,4.45,3.17,107,"2017-10-19 10:33:00",5.86384259259259,49.9352766639222,-46.9510928602941,"N","Y",-25.1614261098192,"N"
"NGP23_102017","NGP","Male",NA,-21.36,-23.34,-21.19,NA,11.49,11.59,12.27,NA,3.52,4.4,3.27,NA,NA,NA,NA,NA,NA,NA,-25.0705393080709,"N"
"SGP01_03102016","SGP","Female",NA,-22.47,-24.32,-22.68,NA,12.76,12.68,11.95,NA,3.52,4.72,3.25,92.4,"2016-10-03 06:32:01",24.2625115740741,1341.29486350665,-50.1887942743501,"Y","N",-26.3762148392599,"N"
"SGP01_102017","SGP","Female",NA,-23.15,-25.23,-23.24,NA,12.64,12.55,11.98,NA,3.6,4.72,3.28,89.2,"2017-10-05 00:44:33",2.43364583333333,643.278081617318,-49.4265644576271,"Y","N",-27.2862148392599,"N"
"SGP01_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-30 16:12:04",4.02292824074074,12.5673183700992,-46.9638012631579,"N","Y",NA,NA
"SGP02_03102016","SGP","Female",NA,-23.3,-25.48,-23.07,NA,12.67,12.62,11.91,NA,3.42,4.59,3.23,NA,NA,NA,NA,NA,NA,NA,-27.4039091547144,"N"
"SGP02_102017","SGP","Male",NA,-23.58,-25.55,-23.03,NA,12.25,12.1,12.21,NA,3.72,4.85,3.19,102.9,"2017-10-07 07:17:14",11.8151273148148,1480.3738484022,-54.2053935773852,"Y","N",-27.7385205238055,"N"
"SGP02_KD_SEP_2015","SGP","Male",NA,-21.7,-23.19,-21.59,NA,12.06,11.91,12.09,NA,3.65,4.63,3.26,110.3,"2015-09-26 07:32:52",11.4756828703704,21.183308258782,-46.9636238202247,"N","Y",-25.154618596113,"N"
"SGP03_03102016","SGP","Female",NA,-23.07,-25.22,-22.95,NA,12.41,12.36,11.49,NA,3.41,4.57,3.23,NA,NA,NA,NA,NA,NA,NA,-27.1235544340151,"N"
"SGP03_102017","SGP","Female",NA,-26.6702941273021,-24.38,-22.16,NA,NA,13.25,12.88,NA,NA,4.95,3.27,NA,NA,NA,NA,NA,NA,NA,-26.6702941273021,"Y"
"SGP03_KD_SEP_2015","SGP","Male",NA,-22.31,-23.11,-21.84,NA,12.07,12.1,11.95,NA,3.76,4.23,3.28,103.4,"2015-09-30 14:21:57",3.1316087962963,10.1713691590591,-46.9617021917808,"N","Y",-24.6675241821267,"N"
"SGP04_102017","SGP","Female",NA,-22.57,-24.87,-22.55,NA,13.43,13.43,12.66,NA,3.53,4.99,3.19,87.9,"2017-10-04 13:42:02",6.66402777777778,1245.78457215749,-49.9003256883117,"Y","N",-27.2010035687007,"N"
"SGP04_KD_SEP_2015",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,"2015-09-28 16:03:52",7.57373842592593,1389.45913543781,-52.1608744827586,"Y","N",NA,NA
"SGP05_102017","SGP","Female",NA,-23.05,-25.11,-22.81,NA,12.64,12.57,11.91,NA,3.57,4.96,3.25,84.9,"2017-10-03 13:37:03",12.1155324074074,1524.57551243691,-53.5206410275862,"Y","N",-27.4104714876517,"N"
"SGP05_KD_SEP_2015","SGP","Female",NA,-22.95,-25.35,-22.67,NA,12.74,12.66,12.34,NA,3.52,4.68,3.24,88,"2015-10-01 05:37:40",16.5533912037037,1909.48454350235,-52.4194409768638,"Y","Y",-27.3655053978613,"N"
"SGP06_03102016","SGP","Female",NA,-22.21,-24.18,-22.86,NA,12.58,12.4,12.3,NA,3.44,4.56,3.25,93.4,"2016-10-08 06:07:57",10.8378935185185,1215.50319882322,-51.0973669548263,"Y","N",-26.0733770736654,"N"
"SGP06_102017","SGP","Male",NA,-22.6,-24.6,-22.81,NA,12.02,11.94,11.72,NA,3.61,4.92,3.19,103.7,"2017-10-06 09:40:23",4.9372337962963,9.58397173610986,-46.965720797479,"N","Y",-26.8597620462531,"N"
"SGP06_KD_SEP_2015","SGP","Male",NA,-22.08,-23.54,-22.01,NA,11.96,11.79,11.88,NA,3.59,4.63,3.27,105,"2015-10-01 20:53:03",3.58829861111111,13.175614461523,-46.9651328571429,"N","Y",-25.504618596113,"N"
"SGP07_03102016","SGP","Female",NA,-22.15,-24.08,-22.26,NA,13.22,13.23,12.4,NA,3.42,4.71,3.23,93.3,"2016-10-05 14:04:53",7.51341435185185,1676.04329179156,-46.7232873994444,"Y","N",-26.1260374789103,"N"
"SGP07_102017","SGP","Female",NA,-27.2541960549945,-24.74,-21.29,NA,NA,13.44,13.08,NA,NA,5.17,3.28,88.7,"2017-10-09 12:11:49",9.73201388888889,1245.31663599763,-47.5027781927039,"Y","N",-27.2541960549945,"Y"
"SGP07_KD_SEP_2015",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,"2015-09-25 10:43:11",6.89835648148148,904.022173754124,-49.3768298136646,"Y","Y",NA,NA
"SGP08_03102016","SGP","Female",NA,-22.28,-24.85,-22.54,NA,12.78,12.77,11.99,NA,3.4,4.72,3.24,90.1,"2016-10-04 04:13:33",10.5945023148148,846.838143329362,-50.4507589571429,"Y","N",-26.9062148392599,"N"
"SGP08_102017","SGP","Female",NA,-22.91,-24.84,-22.42,NA,13.09,12.96,12.41,NA,3.63,4.97,3.21,89.5,"2017-10-09 11:29:49",12.9959722222222,1305.60812798813,-50.3297753951768,"Y","Y",-27.1506488480014,"N"
"SGP08_KD_SEP_2015","SGP","Male",NA,-21.25,-22.96,-21.44,NA,11.21,11.18,11.78,NA,3.4,4.43,3.26,105.3,"2015-09-28 10:27:57",10.1275,9.74999666957748,-46.964791038961,"N","Y",-24.7210713891199,"N"
"SGP09_03102016","SGP","Female",NA,-26.8813582894,-24.53,-22.16,NA,NA,13.3,12.48,NA,NA,5.01,3.22,NA,NA,NA,NA,NA,NA,NA,-26.8813582894,"Y"
"SGP09_102017","SGP","Male",NA,-22.63,-25.14,-22.98,NA,11.87,11.85,12.22,NA,3.61,5.09,3.25,NA,"2017-10-20 02:43:59",1.42412037037037,9.45160279240795,-46.9518000942857,"N","Y",-27.5727771721973,"N"
"SGP09_KD_SEP_2015","SGP","Male",NA,-21.84,-23.75,-21.52,NA,11.84,11.76,11.79,NA,3.56,4.78,3.26,106.4,"2015-10-05 05:38:52",3.30841435185185,9.71601090337877,-46.9646852564103,"N","Y",-25.8672790013579,"N"
"SGP10_03102016","SGP","Female",NA,-21.83,-24.06,-22.43,NA,13.35,13.31,12.33,NA,3.46,4.72,3.23,84,"2016-10-09 13:17:57",7.43289351851852,992.700493591964,-46.3768364870786,"Y","N",-26.1162148392599,"N"
"SGP10_KD_SEP_2015","SGP","Male",NA,-21.78,-23.42,-22.36,NA,12.2,12.1,11.76,NA,3.7,4.5,3.26,103.7,"2015-09-28 05:08:27",12.062662037037,14.9238070176599,-46.9619893501805,"N","Y",-25.2523129115675,"N"
"SGP11_03102016","SGP","Female",NA,-23.63,-25.62,-22.41,NA,12.56,12.31,12.19,NA,3.57,4.8,3.23,91.8,"2016-10-12 17:43:06",16.4310532407407,1756.65036059201,-53.2138792721228,"Y","N",-27.7576337220572,"N"
"SGP11_102017","SGP","Female",NA,-22.11,-24.06,-22.19,NA,11.75,11.64,12.19,NA,3.69,4.78,3.26,88.9,"2017-10-04 13:47:50",21.9612384259259,2031.42797805199,-49.128122539272,"Y","Y",-26.1772790013579,"N"
"SGP11_KD_SEP_2015","SGP","Female",NA,-25.7647959564627,-23.79,-22.24,NA,NA,12.88,12.74,NA,NA,4.64,3.25,91.5,"2015-10-07 05:38:47",10.4274074074074,1021.0072708907,-49.5303513694268,"Y","N",-25.7647959564627,"Y"
"SGP12_03102016",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"2016-10-14 08:16:42",14.854224537037,1817.5224653138,-55.897833879661,"Y","N",NA,NA
"SGP12_102017","SGP","Male",NA,-22.27,-25.13,-22.63,NA,12.36,12.57,12.02,NA,2.7,4.98,3.21,98.2,"2017-10-08 20:25:37",4.26895833333333,49.6967549025138,-46.9640032048544,"N","Y",-27.450826208351,"N"
"SGP12_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.6,"2015-10-06 10:00:46",4.09846064814815,9.49036371191383,-46.9645582474227,"N","Y",NA,NA
"SGP13_03102016",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,"2016-10-03 12:21:25",20.7908680555556,1572.83167726394,-50.516180862173,"Y","N",NA,NA
"SGP13_102017","SGP","Male",NA,-22.91,-25.2,-22.55,NA,12.82,12.66,12.9,NA,3.49,4.77,3.2,NA,"2017-10-11 12:58:12",18.0580787037037,1468.91849967312,-51.8646321444444,"Y","N",-27.3071016410082,"N"
"SGP14_03102016","SGP","Female",NA,-22.06,-24.01,-22.56,NA,12.89,12.86,12.31,NA,3.37,4.49,3.21,90.6,"2016-10-11 15:21:57",17.5203356481481,2343.54611488583,-51.4590164942584,"Y","N",-25.8321355512178,"N"
"SGP14_KD_SEP_2015","SGP","Female",NA,-22.38,-23.98,-22.27,NA,12.49,12.45,12.45,NA,3.47,4.28,3.27,89.9,"2015-10-05 11:24:58",9.21951388888889,1089.02865239526,-48.4744641784038,"Y","N",-25.588410983875,"N"
"SGP15_102017","SGP","Female",NA,-23.33,-24.86,-22.16,NA,12.95,12.8,12.63,NA,3.72,4.86,3.2,90.2,"2017-10-05 06:53:35",10.0738425925926,1095.29530108228,-49.4811703033195,"Y","N",-27.0586978841552,"N"
"SGP15_KD_SEP_2015","SGP","Male",NA,-21.96,-23.98,-22.61,NA,11.83,11.82,11.72,NA,3.4,4.58,3.25,NA,NA,NA,NA,NA,NA,NA,-25.8937317943647,"N"
"SGP16_03102016","SGP","Male",NA,-26.3039091547144,-24.38,-21.99,NA,NA,12.2,11.64,NA,NA,4.59,3.21,NA,NA,NA,NA,NA,NA,NA,-26.3039091547144,"Y"
"SGP16_102017","SGP","Female",NA,-22.99,-24.99,-22.54,NA,12.69,12.57,12.28,NA,3.74,5.18,3.2,83,"2017-10-17 05:50:25",15.9926967592593,1090.74212163324,-48.7319292315927,"Y","Y",-27.5143734153442,"N"
"SGP16_KD_SEP_2015","SGP","Female",NA,-22.87,-24.7,-23.02,NA,12.51,12.26,12.07,NA,3.45,4.52,3.39,89.8,"2015-10-08 18:26:04",11.9215162037037,1669.34634313353,-53.4412567054264,"Y","N",-26.5526676322668,"N"
"SGP17_03102016","SGP","Male",NA,-21.26,-23.12,-21.77,NA,11.99,11.96,11.52,NA,3.43,4.33,3.22,117.9,"2016-10-07 18:24:57",4.48478009259259,9.49147594166848,-46.9643974046296,"N","Y",-24.7792977856233,"N"
"SGP17_102017","SGP","Female",NA,-23.07,-25.12,-22.21,NA,13.12,13.09,12.91,NA,3.53,4.71,3.21,88.2,"2017-10-05 10:11:06",12.9109027777778,1716.88900010519,-49.7220491061489,"Y","N",-27.1660374789103,"N"
"SGP17_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.3,"2015-10-06 16:44:58",13.9313078703704,1735.90025936433,-53.6581165853659,"Y","N",NA,NA
"SGP18_03102016","SGP","Male",NA,-21.89,-23.72,-23.16,NA,11.57,11.55,11.43,NA,3.43,4.37,3.24,107.2,"2016-10-12 23:17:40",4.60481481481481,9.61362131976426,-46.9677167864865,"N","Y",-25.4200072270219,"N"
"SGP18_102017","SGP","Female",NA,-22.51,-23.99,-22.39,NA,12.4,12.3,11.94,NA,3.74,4.5,3.2,89,"2017-10-13 13:07:29",7.95496527777778,847.764702494359,-48.9102309403141,"Y","N",-25.8223129115675,"N"
"SGP18_KD_SEP_2015","SGP","Female",NA,-27.4925998118476,-25.07,-22.82,NA,NA,12.52,12.71,NA,NA,5.08,3.28,87.9,"2015-10-06 09:54:05",10.3961805555556,1573.71141637591,-50.1334957939914,"Y","N",-27.4925998118476,"Y"
"SGP19_03102016","SGP","Male",NA,-21.94,-24.18,-21.87,NA,12.15,12.16,11.72,NA,3.44,4.62,3.3,NA,NA,NA,NA,NA,NA,NA,-26.1344412357634,"N"
"SGP19_KD_SEP_2015","SGP","Male",NA,-21.91,-23.56,-22.4,NA,11.92,11.86,11.9,NA,3.58,4.56,3.26,105.5,"2015-10-06 06:52:09",3.31635416666667,9.75172144324074,-46.9652366666667,"N","Y",-25.4533770736654,"N"
