"ID","Species","Culmen_Length","sex.x","Deployment.date","Deployment.time..start.","Retrieval.date","Retrieval.time","Maxdist","date.start","date.end","duration","d13C","d15N","sex.y","species","ss","tracked","sampled"
"SGP05_KD_SEP_2015","Southern giant petrel",88,"F","25-09-2015","7:13","21-10-2015","13:58",1909.5,"2015-09-25 07:13:00","2015-10-21 13:58:00",26.3,-22.95,12.66,"F","SGP","FS","Y","Y"
"SGP06_KD_SEP_2015","Southern giant petrel",105,"M","25-09-2015","7:28","06-10-2015","14:04",13.2,"2015-09-25 07:28:00","2015-10-06 14:04:00",11.3,-22.08,11.79,"M","SGP","MS","Y","Y"
"SGP07_KD_SEP_2015","Southern giant petrel",85.3,"F","25-09-2015","7:37","06-10-2015","13:38",904,"2015-09-25 07:37:00","2015-10-06 13:38:00",11.3,-,-,-,-,-,"Y","N"
"SGP08_KD_SEP_2015","Southern giant petrel",105.3,"M","25-09-2015","7:46","11-10-2015","13:16",9.7,"2015-09-25 07:46:00","2015-10-11 13:16:00",16.2,-21.25,11.18,"M","SGP","MS","Y","Y"
"SGP09_KD_SEP_2015","Southern giant petrel",106.4,"M","25-09-2015","8:00","11-10-2015","12:45",9.8,"2015-09-25 08:00:00","2015-10-11 12:45:00",16.2,-21.84,11.76,"M","SGP","MS","Y","Y"
"SGP10_KD_SEP_2015","Southern giant petrel",103.7,"M","25-09-2015","8:09","11-10-2015","12:32",14.9,"2015-09-25 08:09:00","2015-10-11 12:32:00",16.2,-21.78,12.1,"M","SGP","MS","Y","Y"
"SGP11_KD_SEP_2015","Southern giant petrel",91.5,"F","04-10-2015","14:18","","",1021,"2015-10-04 14:18:00",-,-,-21.86565855,12.88,"F","SGP","FS","N","Y"
"SGP12_KD_SEP_2015","Southern giant petrel",106.6,"M","04-10-2015","14:27","11-10-2015","11:58",9.5,"2015-10-04 14:27:00","2015-10-11 11:58:00",6.9,-,-,-,-,-,"Y","N"
"SGP14_KD_SEP_2015","Southern giant petrel",89.9,"F","04-10-2015","14:48","15-10-2015","17:00",1089,"2015-10-04 14:48:00","2015-10-15 17:00:00",11.1,-22.38,12.45,"F","SGP","FS","Y","Y"
"SGP15_KD_SEP_2015","Soutern giant petrel",-,"M",-,-,-,-,-,-,-,-,-21.96,11.82,"M","SGP","MS","N","Y"
"SGP16_KD_SEP_2015","Southern giant petrel",89.8,"F","04-10-2015","15:03","21-10-2015","13:28",1669.1,"2015-10-04 15:03:00","2015-10-21 13:28:00",16.9,-22.87,12.26,"F","SGP","FS","Y","Y"
"SGP17_KD_SEP_2015","Southern giant petrel",101.3,"M","04-10-2015","15:18","21-10-2015","14:17",1735.9,"2015-10-04 15:18:00","2015-10-21 14:17:00",17,-,-,-,-,-,"Y","N"
"SGP18_KD_SEP_2015","Southern giant petrel",87.9,"F","04-10-2015","15:25","21-10-2015","14:07",1573.7,"2015-10-04 15:25:00","2015-10-21 14:07:00",16.9,-22.18705288,12.52,"F","SGP","FS","Y","Y"
"SGP19_KD_SEP_2015","Southern giant petrel",105.5,"M","04-10-2015","15:32","11-10-2015","13:02",9.8,"2015-10-04 15:32:00","2015-10-11 13:02:00",6.9,-21.91,11.86,"M","SGP","MS","Y","Y"
"SGP20_KD_SEP_2015","Soutern giant petrel",-,"F",-,-,-,-,-,-,-,-,-22.30496138,12.68,"F","SGP","MS","N","Y"
